ID_Number,Canonical_Smiles,Round_Number,Max_LCAP
000000004897720,CCCCn1ccnc1,Round_0,0
000000018461035,CC(=O)c1ocnc1,Round_0,72
000000001762470,Fc1ccc(cc1)c2ocnc2,Round_0,87
000000016916940,Brc1ccc(cc1)c2cncs2,Round_0,78
000000001040111,Fc1cc(ccc1[C@@H]2CCc3cncn23)C#N,Round_0,0
000000002414152,Brc1ccc2ocnc2n1,Round_0,63
000000001529459,Brc1ccc(s1)c2ocnc2,Round_0,68
000000002485236,c1ccc2scnc2c1,Round_0,77
000000002545669,Cc1ccc(cc1)S(=O)(=O)n2cnc3ccccc23,Round_0,27
000000001183552,Clc1ccc2ocnc2c1,Round_0,87
000000002420130,C[Si](C)(C)C#Cc1cncs1,Round_0,71
000000004034308,o1cnc2ccccc12,Round_0,80
000000002109918,Fc1cccc2ocnc12,Round_0,72
000000005645033,Clc1ccc(cc1)C(=O)c2ocnc2,Round_0,72
000000001142112,Cc1ccc(cc1)S(=O)(=O)n2ccnc2,Round_0,61
000000001796665,Brc1ccc2ncsc2c1,Round_0,0
000000002206793,Brc1cccc(CNC(=O)c2ocnc2)n1,Round_0,82
000000001453041,c1ccc2[nH]cnc2c1,Round_0,0
000000001762434,Clc1cccc(c1)n2ccnc2,Round_0,0
000000002610804,N#Cc1ccc(Cn2ccnc2)cc1,Round_0,0
000000003662424,C=CCn1ccnc1,Round_0,0
000000005689430,[O-][N+](=O)c1ccc2ocnc2c1,Round_0,61
000000001161595,O=C(N(c1ccccc1)c2ccccc2)n3ccnc3,Round_0,41
000000027183160,COc1cc(Br)c2ncoc2c1,Round_0,76
000000001030355,c1c[nH]cn1,Round_0,0
000000026170853,C(Cc1ocnc1)\C=C\c2ccccc2,Round_1,65
000000026170800,Cc1ccc(NC(=O)c2cncs2)cc1,Round_1,71
000000002391465,Brc1cccc(c1)c2cocn2,Round_1,32
000000016916762,Brc1ccc2ncoc2c1,Round_1,78
000000001526507,Brc1ccc2ocnc2c1,Round_1,73
000000005263414,Fc1ccc(cc1)c2cscn2,Round_1,27
000000003062439,o1cncc1c2ccncc2,Round_1,78
000000007917039,CC(=O)Nc1cncs1,Round_1,59
000000002420358,Brc1cnc2ncoc2c1,Round_1,51
000000026170778,CCOc1ocnc1,Round_1,57
000000026170765,FC(F)(F)c1ocnc1,Round_1,75
000000007957566,CN(C)Cc1cncs1,Round_1,80
000000026170829,C1CCC(CC1)c2ocnc2,Round_1,63
000000026170748,CC(C)(C)CC(=O)c1cncs1,Round_1,58
000000026170842,Cc1ccc2ocnc2n1,Round_1,58
000000026170835,CCC(CC)NC(=O)c1cncs1,Round_1,67
000000022528927,Cc1ccc(cc1)S(=O)(=O)n2cnc(c3ccccc3)c2c4ccccc4,Round_1,0
000000026170751,Cn1ccc2c1ccc3scnc23,Round_1,70
000000016916650,Brc1cccc2ncsc12,Round_1,56
000000026170755,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)C(C)(C)C,Round_1,4
000000026170744,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3cccc4ccccc34,Round_1,48
000000026170766,CN(C(=O)c1cn(cn1)S(=O)(=O)c2ccc(C)cc2)c3ccccc3,Round_1,25
000000026170764,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3ccc(cc3)C(C)(C)C,Round_1,3
000000026170745,CN1C(=O)N(C)c2c(ncn2S(=O)(=O)c3ccc(C)cc3)C1=O,Round_1,0
000000026170798,COc1ccc(cc1)c2cn(cn2)S(=O)(=O)c3ccc(C)cc3,Round_1,34
000000026170863,C1COC(C1)c2ocnc2,Round_1,54
000000003689786,o1cncc1c2ccccc2,Round_1,70
000000026170844,CCCCc1ocnc1,Round_1,70
000000026170791,COCCOCc1ocnc1,Round_1,55
000000026170785,O=C(OCc1ccccc1)c2ocnc2,Round_1,69
000000001918577,Brc1cnc2ncsc2c1,Round_1,70
000000026170830,Cc1ccc(cc1)S(=O)(=O)n2cnc3c(C)cncc23,Round_1,0
000000026170808,CC(C)(C)c1ocnc1,Round_1,73
000000022519970,Cc1ccc(cc1)S(=O)(=O)n2cnc3cc(C)c(C)cc23,Round_1,0
000000026170825,Cc1ccc(cc1)S(=O)(=O)n2cnc3CCCCc23,Round_1,34
000000005645964,Brc1cccc2ncoc12,Round_1,81
000000026170757,Cc1ccc(cc1)S(=O)(=O)n2cnc3c(Br)cc(cc23)C(F)(F)F,Round_1,0
000000026170804,Cc1ccc(cc1)S(=O)(=O)n2cnc3c(Br)cncc23,Round_1,0
000000009378843,Clc1ccc(c(Br)c1)c2ocnc2,Round_1,77
000000026170811,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3ccccc3,Round_1,8
000000026170767,CC1(C)CCc2ncsc2C1,Round_1,56
000000026170815,c1cnc2ncsc2c1,Round_1,72
000000026170839,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3ccc(cc3)C(F)(F)F,Round_1,2
000000026170786,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3ccc(F)cc3,Round_1,7
000000026170867,FC(F)(F)Oc1ccc(cc1)c2cncs2,Round_1,82
000000018461264,Fc1ccc2ocnc2c1,Round_1,68
000000002860889,Brc1ccc(cc1)c2ocnc2,Round_1,74
000000026170851,O=C(NCc1ccccn1)c2ocnc2,Round_1,53
000000001197542,Clc1cccc(c1)c2ocnc2,Round_1,81
000000026170877,CC(C)C\C=C\c1ocnc1,Round_1,44
000000006031629,Cc1ccc(cc1)c2ocnc2,Round_1,58
000000004022859,Brc1ccc(cc1)c2cscn2,Round_1,14
000000026170809,Cc1ccc(cc1)S(=O)(=O)n2cnc(c2)c3ccncc3,Round_1,0
000000006169119,Brc1ccc2scnc2c1,Round_1,65
000000003675047,COc1ccc(cc1)c2cncs2,Round_1,68
000000005643466,Cc1scnc1c2ccc(Br)cc2,Round_1,36
000000026170843,O=C(NCC1CCCO1)c2cncs2,Round_1,74
000000026170874,COC(=O)c1cn(cn1)S(=O)(=O)c2ccc(C)cc2,Round_1,2
000000001124356,CC(C)(OC(=O)n1ccnc1)C(F)(F)F,Round_2,0
000000001155566,Brc1ccc(Cn2ccnc2)cc1,Round_2,0
000000001452292,Cn1cnc2ccccc12,Round_2,0
000000002528367,CC(=O)n1ccnc1,Round_2,0
000000004732229,CC(C)(C)OC(=O)n1cnc2c(Cl)ncnc12,Round_2,0
000000005708625,CC(C)Cn1cnc2c(Cl)nc3ccccc3c12,Round_2,0
000000015884514,CC(C)(C)OC(=O)n1ccnc1,Round_2,0
000000003661559,Brc1ccc(cc1)C2NCCc3[nH]cnc23,Round_3,0
000000002531419,Cc1cc2nc[nH]c2cc1C,Round_3,0
000000003675202,o1cnc(c1)c2ccccc2,Round_3,30
000000001457924,Clc1ncc2[nH]cnc2n1,Round_3,0
000000005644629,Clc1ccc(cc1)C(=O)c2cocn2,Round_3,45
000000001888298,CC(=O)c1cscn1,Round_3,1
000000018461144,CC(=O)c1cocn1,Round_3,8
000000026170758,FC(F)(F)c1cscn1,Round_3,3
000000005644539,Clc1ccc(cc1)C(=O)c2cscn2,Round_3,5
000000001134660,FC(F)(F)c1cnc[nH]1,Round_3,0
000000006273218,CCOC(=O)\C=C\c1cocn1,Round_3,44
