ID_Number,Canonical_Smiles,Name,Scaffolds,Scaffold_Types,N (eV),HOMO (eV),LUMO (eV),Gap (eV),Omega,dqG,Bmin,Bmax,L,PMI_X,PMI_Y,PMI_Z
000000004897720,CCCCn1ccnc1,Het00075,imidazoles-NR,azoles,1.45,-7.68,1.55,9.23,0.018667058,66.20017147,1.71,7.91,5.1,15.11284,119.059,132.05374
000000018461035,CC(=O)c1ocnc1,Het00029,oxazoles,azoles,0.4,-8.72,-0.79,7.93,0.052357273,52.80948457,1.74,4.66,7.15,17.18341,52.33765,69.00428
000000001762470,Fc1ccc(cc1)c2ocnc2,Het00013,oxazoles,azoles,1.71,-7.41,-0.34,7.07,0.03904039,56.56130411,1.65,6.65,8.4,23.60169,178.26557,201.86727
000000016916940,Brc1ccc(cc1)c2cncs2,Het00043,thiazoles,azoles,1.63,-7.49,-0.88,6.6,0.048712841,55.46247135,1.71,5.4,10.8,29.47762,386.11696,415.59459
000000001040111,Fc1cc(ccc1[C@@H]2CCc3cncn23)C#N,ME00009,imidazoles-NR,azoles,1.54,-7.58,-0.95,6.63,0.050419572,63.96673787,1.78,7.98,5.95,87.74469,306.39359,323.60486
000000002414152,Brc1ccc2ocnc2n1,Het00009,oxazoles,azoles,0.86,-8.26,-0.8,7.46,0.050627018,47.72709283,1.76,3.95,8.9,23.88123,177.92245,201.80369
000000001529459,Brc1ccc(s1)c2ocnc2,Het00018,oxazoles,azoles,1.88,-7.25,-0.75,6.49,0.04527674,54.55603316,1.69,6.35,9.5,25.9646,296.80127,322.76587
000000002485236,c1ccc2scnc2c1,Het00034,thiazoles,azoles,1.19,-7.93,-0.3,7.63,0.040748768,54.3704157,1.72,3.81,7.9,25.38124,61.35279,86.73404
000000002545669,Cc1ccc(cc1)S(=O)(=O)n2cnc3ccccc23,Het00055,imidazoles-Ts,azoles,1.14,-7.99,-0.72,7.27,0.04791372,53.27315171,1.85,9,7.6,80.67705,453.69828,516.73126
000000001183552,Clc1ccc2ocnc2c1,Het00006,oxazoles,azoles,1.02,-8.1,-0.34,7.76,0.042193403,51.18461018,1.69,3.96,8.85,23.69539,116.51127,140.20666
000000002420130,C[Si](C)(C)C#Cc1cncs1,Het00047,thiazoles,azoles,1.23,-7.89,-0.71,7.18,0.047374842,53.792981,2.11,6.02,10.7,39.91357,261.57511,275.81316
000000004034308,o1cnc2ccccc12,Het00001,oxazoles,azoles,1.05,-8.07,-0.09,7.98,0.038346637,53.746357,1.65,3.96,7.6,20.74209,49.4472,70.1893
000000002109918,Fc1cccc2ocnc12,Het00002,oxazoles,azoles,1,-8.12,-0.1,8.02,0.038746483,51.21153036,1.65,3.96,7.6,38.21625,56.11398,94.33024
000000005645033,Clc1ccc(cc1)C(=O)c2ocnc2,Het00030,oxazoles,azoles,0.65,-8.48,-1.35,7.12,0.062334883,51.39777533,1.72,4.68,11.55,47.90437,294.5307,342.43507
000000001142112,Cc1ccc(cc1)S(=O)(=O)n2ccnc2,Het00060,imidazoles-Ts,azoles,0.89,-8.23,-0.72,7.51,0.049014969,56.52371626,1.76,8.98,5.1,69.92793,255.26155,307.71193
000000001796665,Brc1ccc2ncsc2c1,Het00037,thiazoles,azoles,1.19,-7.93,-0.53,7.41,0.044383699,51.78595301,1.77,3.81,9.4,32.50239,206.54829,239.05069
000000002206793,Brc1cccc(CNC(=O)c2ocnc2)n1,Het00033,oxazoles,azoles,0.79,-8.34,-0.32,8.02,0.042922283,53.11771748,1.69,8.1,11.45,53.55906,724.28371,777.31422
000000001453041,c1ccc2[nH]cnc2c1,ME00001,imidazoles-NH,azoles,1.44,-7.68,0.19,7.87,0.032788664,60.16697657,1.65,3.76,7.55,21.15527,49.54074,70.69602
000000001762434,Clc1cccc(c1)n2ccnc2,ME00011,imidazoles-NR,azoles,1.28,-7.84,-0.19,7.65,0.03864469,60.92325162,1.81,7.99,5.1,43.17684,184.66627,227.84312
000000002610804,N#Cc1ccc(Cn2ccnc2)cc1,Het00074,imidazoles-NR,azoles,1.25,-7.87,-0.73,7.14,0.047572291,62.27904973,1.7,9.9,5.1,33.69385,281.66843,314.86952
